iter	Passed	Remaining
811	16010	3706
812	16024	3685
813	16039	3664
814	16053	3643
815	16066	3622
816	16081	3601
817	16094	3581
818	16109	3560
819	16123	3539
820	16138	3518
821	16153	3497
822	16169	3477
823	16184	3456
824	16198	3435
825	16211	3415
826	16226	3394
827	16241	3373
828	16254	3352
829	16268	3332
830	16283	3311
831	16297	3290
832	16310	3270
833	16324	3249
834	16338	3228
835	16352	3207
836	16367	3187
837	16381	3166
838	16395	3146
839	16410	3125
840	16425	3105
841	16440	3085
842	16455	3064
843	16469	3044
844	16483	3023
845	16498	3003
846	16511	2982
847	16525	2962
848	16539	2941
849	16554	2921
850	16569	2901
851	16583	2880
852	16597	2860
853	16611	2839
854	16625	2819
855	16639	2799
856	16652	2778
857	16666	2758
858	16680	2738
859	16694	2717
860	16708	2697
861	16722	2677
862	16736	2656
863	16750	2636
864	16763	2616
865	16776	2595
866	16794	2576
867	16812	2556
868	16834	2537
869	16853	2518
870	16872	2498
871	16886	2478
872	16900	2458
873	16914	2438
874	16929	2418
875	16943	2398
876	16957	2378
877	16973	2358
878	16987	2338
879	17001	2318
880	17014	2298
881	17028	2278
882	17042	2258
883	17056	2238
884	17070	2218
885	17084	2198
886	17100	2178
887	17115	2158
888	17128	2138
889	17142	2118
890	17154	2098
891	17168	2078
892	17181	2058
893	17194	2038
894	17208	2018
895	17221	1998
896	17235	1979
897	17247	1959
898	17260	1939
899	17274	1919
900	17287	1899
901	17300	1879
902	17314	1859
903	17327	1840
904	17341	1820
905	17354	1800
906	17367	1780
907	17381	1761
908	17394	1741
909	17408	1721
910	17422	1702
911	17435	1682
912	17447	1662
913	17460	1642
914	17474	1623
915	17488	1603
916	17502	1584
917	17515	1564
918	17528	1544
919	17542	1525
920	17554	1505
921	17567	1486
922	17580	1466
923	17594	1447
924	17606	1427
925	17620	1408
926	17632	1388
927	17645	1369
928	17658	1349
929	17672	1330
930	17685	1310
931	17699	1291
932	17713	1272
933	17726	1252
934	17739	1233
935	17752	1213
936	17765	1194
937	17778	1175
938	17792	1155
939	17805	1136
940	17819	1117
941	17832	1097
942	17846	1078
943	17859	1059
944	17872	1040
945	17885	1020
946	17897	1001
947	17910	982
948	17923	963
949	17937	944
950	17950	924
951	17963	905
952	17976	886
953	17989	867
954	18003	848
955	18016	829
956	18030	810
957	18043	791
958	18056	771
959	18075	753
960	18094	734
961	18114	715
962	18133	696
963	18148	677
964	18162	658
965	18176	639
966	18191	620
967	18206	601
968	18221	582
969	18234	563
970	18248	545
971	18263	526
972	18277	507
973	18291	488
974	18306	469
975	18321	450
976	18334	431
977	18349	412
978	18363	393
979	18377	375
980	18396	356
981	18415	337
982	18429	318
983	18443	299
984	18457	281
985	18471	262
986	18484	243
987	18497	224
988	18511	205
989	18526	187
990	18540	168
991	18555	149
992	18569	130
993	18582	112
994	18595	93
995	18608	74
996	18621	56
997	18633	37
998	18647	18
999	18660	0
